date,arima
2016-01-03,
2016-01-10,
2016-01-17,
2016-01-24,
2016-01-31,
2016-02-07,
2016-02-14,
2016-02-21,
2016-02-28,
2016-03-06,
2016-03-13,
2016-03-20,
2016-03-27,
2016-04-03,
2016-04-10,
2016-04-17,
2016-04-24,
2016-05-01,
2016-05-08,
2016-05-15,
2016-05-22,
2016-05-29,
2016-06-05,
2016-06-12,
2016-06-19,
2016-06-26,
2016-07-03,
2016-07-10,
2016-07-17,
2016-07-24,
2016-07-31,
2016-08-07,
2016-08-14,
2016-08-21,
2016-08-28,
2016-09-04,
2016-09-11,
2016-09-18,
2016-09-25,
2016-10-02,
2016-10-09,
2016-10-16,
2016-10-23,
2016-10-30,
2016-11-06,3.147
2016-11-13,3.152060331630283
2016-11-20,3.1408793367394336
2016-11-27,3.124023756386439
2016-12-04,3.1102888392940096
2016-12-11,3.1342413265211317
2016-12-18,3.184398565025542
2016-12-25,3.1945064094287026
2017-01-01,3.19
2017-01-08,3.195060331630283
2017-01-15,3.2420731504876885
2017-01-22,3.26615723850441
2017-01-29,3.2627952487227123
2017-02-05,3.251719553240185
2017-02-12,3.2424344973952084
2017-02-19,3.2372896649301386
2017-02-26,3.237714944155023
2017-03-05,3.2264344973952084
2017-03-12,3.199443715565532
2017-03-19,3.1841540506353936
2017-03-26,3.1710092181703238
2017-04-02,3.164719553240185
2017-04-09,3.1580046090851623
2017-04-16,3.158714944155023
2017-04-23,3.148719553240185
2017-04-30,3.1548551675349303
2017-05-07,3.1514096572751193
2017-05-14,3.1636565422619634
2017-05-21,3.1545241431877984
2017-05-28,3.1508193145502386
2017-06-04,3.1429338004629175
2017-06-11,3.1359338004629174
2017-06-18,3.1250482863755966
2017-06-25,3.1111627722882758
2017-07-02,3.092982086838514
2017-07-09,3.074686915476074
2017-07-16,3.0696386291004774
2017-07-23,3.043506230026312
2017-07-30,3.2248481339294472
2017-08-06,3.2424449536714155
2017-08-13,3.249148317890472
2017-08-20,3.227128236635559
2017-08-27,3.250148317890472
2017-09-03,3.229404791161591
2017-09-10,3.315976044192045
2017-09-17,3.283957900213654
2017-09-24,3.33040285388507
2017-10-01,3.3363186543123775
2017-10-08,3.3700200812549124
2017-10-15,3.330086136849214
2017-10-22,3.3663607540987233
2017-10-29,3.338298573057465
2017-11-05,3.3770088820238007
2017-11-12,3.3746438087882646
2017-11-19,3.418940308388594
2017-11-26,3.437721264447272
2017-12-03,3.4730818966709083
2017-12-10,3.4356349267644632
2017-12-17,3.467721264447272
2017-12-24,3.4508539707057855
2017-12-31,3.466360632223636
2018-01-07,3.482219043941322
2018-01-14,3.497219043941322
2018-01-21,3.50250222050595
2018-01-28,3.501
2018-02-04,3.5147923469610176
2018-02-11,3.5169304595932513
2018-02-18,3.512453322202386
2018-02-25,3.50753406929042
2018-03-04,3.500722717136903
2018-03-11,3.502528991256426
2018-03-18,3.5015885788456815
2018-03-25,3.4970976001172875
2018-04-01,3.504586633877406
2018-04-08,3.484343452363674
2018-04-15,3.4973959879873124
2018-04-22,3.518326199575789
2018-04-29,3.5636262589322083
2018-05-06,3.5948375978198635
2018-05-13,3.6597056752591577
2018-05-20,3.7067634047347697
2018-05-27,3.9034481946736017
2018-06-03,3.9228189148448616
2018-06-10,3.5197255402506875
2018-06-17,3.483323883125926
2018-06-24,3.4551907225591614
2018-07-01,3.453619138688202
2018-07-08,3.460296479164366
2018-07-15,3.4606615381080283
2018-07-22,3.457244402762387
2018-07-29,3.4546825784875463
2018-08-05,3.4524372753317927
2018-08-12,3.4604749372038266
2018-08-19,3.4451963247084767
2018-08-26,3.449854855640359
2018-09-02,3.4524821097004024
2018-09-09,3.612333196484749
2018-09-16,3.739298558607395
2018-09-23,3.7132132630780457
2018-09-30,3.7362222184573626
2018-10-07,3.748197504008966
2018-10-14,3.7944959084151115
2018-10-21,3.788989568674339
2018-10-28,3.8012497908010823
2018-11-04,3.794481607606248
2018-11-11,3.754723074125902
2018-11-18,3.748758242116257
2018-11-25,3.733908604553389
2018-12-02,3.7277094637433446
2018-12-09,3.6447241236396573
2018-12-16,3.6198142702450626
2018-12-23,3.554377351518932
2018-12-30,3.565267006920639
2019-01-06,3.5434602783270415
2019-01-13,3.5454048129407245
2019-01-20,3.5373160910138113
2019-01-27,3.5407056347315344
2019-02-03,3.5436060548042985
2019-02-10,3.5415731177262013
2019-02-17,3.5395818722560923
2019-02-24,3.547705910008497
2019-03-03,3.574659875073822
2019-03-10,3.586482563954466
2019-03-17,3.631440377637194
2019-03-24,3.6334145407359197
2019-03-31,3.6392187948205885
2019-04-07,3.632612867385635
2019-04-14,3.6394318760564826
2019-04-21,3.6452141871689454
2019-04-28,3.7082328491701166
2019-05-05,3.6965369256424743
2019-05-12,3.7414402796543427
2019-05-19,3.7282207948297743
2019-05-26,3.7304736248809127
2019-06-02,3.734938721977533
2019-06-09,3.7172895085698032
2019-06-16,3.709325731176357
2019-06-23,3.6683948819197303
2019-06-30,3.6602976807630907
2019-07-07,3.6371291526028453
2019-07-14,3.648361421893541
2019-07-21,3.625112184697275
2019-07-28,3.622437735882037
2019-08-04,3.6067409226471847
2019-08-11,3.614641942059468
2019-08-18,3.6125692697861553
2019-08-25,3.615637652795829
2019-09-01,3.6072587463475405
2019-09-08,3.609456782597021
2019-09-15,3.653061712825419
2019-09-22,3.6618201189872637
2019-09-29,3.7718698744727654
2019-10-06,3.7581485087862125
2019-10-13,3.7781583173784385
2019-10-20,3.7741714794611902
2019-10-27,3.7878406428475415
2019-11-03,3.783025873285654
2019-11-10,3.788024255589418
2019-11-17,3.787993748583067
2019-11-24,3.7854861492154415
2019-12-01,3.784874704284237
2019-12-08,3.796351871445927
2019-12-15,3.80471342871532
2019-12-22,3.8126202442044352
2019-12-29,3.8244174536927336
2020-01-05,3.8528202218854823
2020-01-12,3.8467576794693987
2020-01-19,3.8659284182718228
2020-01-26,3.8660184488292537
2020-02-02,3.842091416141875
2020-02-09,3.8394601639729293
2020-02-16,3.7860401887176005
2020-02-23,3.779699027229198
2020-03-01,3.7586896495466116
2020-03-08,3.7452407892305706
2020-03-15,3.6971292931057853
2020-03-22,3.6755785893818027
2020-03-29,3.5679104670901296
2020-04-05,3.523988915367068
2020-04-12,3.417062673660122
2020-04-19,3.4157257028310783
2020-04-26,3.3280024118359863
2020-05-03,3.287340492244251
2020-05-10,3.1471817352182576
2020-05-17,3.149107839963345
2020-05-24,3.098340492244251
2020-05-31,3.1041787322992334
2020-06-07,3.1503205169710107
2020-06-14,3.1321787322992334
2020-06-21,3.136607089233589
2020-06-28,3.172499249270244
2020-07-05,3.2500339447084317
2020-07-12,3.279534695438188
2020-07-19,3.3344807754565156
2020-07-26,3.362016972354216
2020-08-02,3.4211291739079024
2020-08-09,3.4212822934769753
2020-08-16,3.440929329429659
2020-10-18,3.445635257524293
2020-10-25,3.6331052282467318
2020-11-01,3.571376520904098
2020-11-08,3.5643647424757074
2020-11-15,3.567
2020-11-22,3.666705539290244
2020-11-29,3.6047765986649756
2020-12-06,3.6791409523362923
2020-12-13,3.6829411078580487
2020-12-20,3.6700235568567807
2020-12-27,3.7025687245557313
2021-01-03,3.7232147225833967
2021-01-10,3.777606573463109
2021-01-17,3.776040007240177
2021-01-24,3.7666571835278666
2021-01-31,3.781390954778137
2021-02-07,3.8473831348090304
2021-02-14,3.8908715994784746
2021-02-21,3.960616824840612
2021-02-28,4.339191604232283
2021-03-07,4.335018016303791
2021-03-14,4.316725985589904
2021-03-21,4.344375603929943
2021-03-28,4.3430079587566865
2021-04-04,4.2718113273063905
2021-04-11,4.259403622496519
2021-04-18,4.244665015086903
2021-04-25,4.258312859904368
2021-05-02,4.261298277155717
2021-05-09,4.511251238175976
2021-05-16,4.565583095406448
2021-05-23,4.5538946579087565
2021-05-30,4.5524696782564
2021-06-06,4.556511344838583
2021-06-13,4.568821456516606
2021-06-20,4.570772115049525
2021-06-27,4.560629451950859
2021-07-04,4.569500416594852
2021-07-11,4.614959751087667
2021-07-18,4.66452822271963
2021-07-25,4.666382154040885
2021-08-01,4.653508352547055
2021-08-08,4.661677327509579
2021-08-15,4.661633671814415
2021-08-22,4.677976177015391
2021-08-29,4.669616158124791
2021-09-05,4.697139751215244
2021-09-12,4.763518503913931
2021-09-19,4.770263012275753
2021-09-26,4.77256119284536
2021-10-03,4.8492089463402035
2021-10-10,5.07290743544329
2021-10-17,5.039082833007732
2021-10-24,5.052802236585051
2021-10-31,5.367476083572153
2021-11-07,5.4682201292654575
2021-11-14,5.458003727641752
2021-11-21,5.447359701788661
2021-11-28,5.44667985089433
2021-12-05,5.445679850894329
2021-12-12,5.431478359837629
2021-12-19,5.413877614309278
2021-12-26,5.409410698180501
2022-01-02,5.407977086875171
2022-01-09,5.430105884855331
2022-01-16,5.512867910513105
2022-01-23,5.687883448409538
2022-01-30,5.664122686605018
2022-02-06,5.651722123613542
2022-02-13,5.6568824898279395
2022-02-20,5.654225871594426
2022-02-27,5.650793985339349
2022-03-06,5.672976096977481
2022-03-13,5.985926425949574
2022-03-20,7.023137124100197
2022-03-27,6.588667955993956
2022-04-03,6.77049868225076
2022-04-10,6.718395106887595
2022-04-17,6.723032981739803
2022-04-24,6.735856048027508
2022-05-01,6.74247399889326
2022-05-08,6.784320322174449
2022-05-15,7.0232064920278
2022-05-22,7.0834086747566145
2022-05-29,7.040426747784605
2022-06-05,7.001281218642815
2022-06-12,7.012498365875069
2022-06-19,7.035015091406054
2022-06-26,7.86118111132634
2022-07-03,7.667212598287287
2022-07-10,7.618850393149148
2022-07-17,7.566062991436436
2022-07-24,7.5416377948618605
2022-07-31,7.498850393149148
2022-08-07,7.458850393149148
2022-08-14,7.265401572596593
2022-08-21,7.079826769171167
2022-08-28,6.976551179447444
2022-09-04,6.984425196574574
2022-09-11,6.9516377948618615
2022-09-18,6.9344251965745745
2022-09-25,6.791084061977868
2022-10-02,6.708313046483401
2022-10-09,6.643132369487089
2022-10-16,6.647590338498156
2022-10-23,6.7368676305129105
2022-10-30,6.670361353992622
2022-11-06,6.7172289845055335
2022-11-13,6.71
2022-11-20,6.685180676996311
2022-11-27,6.677590338498155
2022-12-04,6.667590338498155
2022-12-11,6.620361353992623
2022-12-18,6.443855077472334
2022-12-25,6.405132920109166
2023-01-01,6.370088613406111
2023-01-08,6.54221200643014
2023-01-15,6.460088613406111
2023-01-22,6.420088613406111
2023-01-29,6.367610766757639
2023-02-05,6.392477846648472
2023-02-12,6.302655073460694
2023-02-19,6.045487373733609
2023-02-26,6.037610766757639
2023-03-05,6.0125664600545825
2023-03-12,5.995044306703056
2023-03-19,5.962566460054583
2023-03-26,5.932524045210762
2023-04-02,5.840064120562032
2023-04-09,5.835016030140507
2023-04-16,5.827508015070254
2023-04-23,5.780032060281016
2023-04-30,5.765016030140507
2023-05-07,5.682556105491778
2023-05-14,5.5376041959133016
2023-05-21,5.432588165772794
2023-05-28,5.185176331545588
2023-06-04,5.140064120562032
2023-06-11,5.122524045210762
2023-06-18,5.092524045210761
2023-06-25,5.036415696539788
2023-07-02,5.037283139307958
2023-07-09,5.014566278615915
2023-07-16,5.007283139307957
2023-07-23,4.984566278615915
2023-07-30,4.977283139307958
2023-08-06,5.005433721384085
2023-08-13,5.101734885536339
2023-08-20,5.614108149065779
2023-08-27,6.199427338062329
2023-09-03,6.151734885536339
2023-09-10,6.193584303460211
2023-09-17,6.205433721384085
2023-09-24,6.226727192380562
2023-10-01,6.22
2023-10-08,6.22
2023-10-15,6.193272807619438
2023-10-22,6.173272807619437
2023-10-29,6.273545173331968
2023-11-05,6.263363596190281
2023-11-12,6.233272807619438
2023-11-19,6.199909211429157
2023-11-26,6.1699092114291565
2023-12-03,6.153272807619438
2023-12-10,6.119909211429157
2023-12-17,6.036454826668032
2023-12-24,5.952949537325958
2023-12-31,5.926474768662979
2024-01-07,5.980143923502766
2024-01-14,5.9833813078342555
2024-01-21,5.926474768662979
2024-01-28,5.899856076497234
2024-02-04,5.923381307834255
2024-02-11,6.0002878470055325
2024-02-18,5.966618692165744
2024-02-25,5.97
2024-03-03,5.956618692165745
2024-03-10,5.946618692165745
2024-03-17,5.909856076497234
2024-03-24,5.9333719716464595
2024-03-31,5.91662802835354
2024-04-07,5.9333719716464595
2024-04-14,5.93
2024-04-21,5.94337197164646
2024-04-28,5.966743943292919
2024-05-05,5.96
2024-05-12,5.96
2024-05-19,5.94662802835354
2024-05-26,5.923256056707081
2024-06-02,5.93
2024-06-09,5.91662802835354
2024-06-16,5.92
2024-06-23,5.946742024373795
2024-06-30,5.94
2024-07-07,5.966742024373794
2024-07-14,6.026855060934485
2024-07-21,6.050113036560691
2024-07-28,6.026628987813103
2024-08-04,6.03
2024-08-11,6.03
2024-08-18,6.016628987813102
2024-08-25,6.02
2024-09-01,6.02
2024-09-08,6.02
2024-09-15,6.0333710121868975
2024-09-22,6.003254572087291
2024-09-29,6.01
2024-10-06,6.01
2024-10-13,6.01
2024-10-20,6.023372713956354
2024-10-27,6.02
2024-11-03,6.033372713956354
2024-11-10,6.03
2024-11-17,6.056745427912708
2024-11-24,6.05
2024-12-01,6.063372713956354
2024-12-08,6.113490855825417
2024-12-15,6.1133727139563545
2024-12-22,6.11
2024-12-29,6.136744412593169
2025-01-05,6.13
2025-01-12,6.1433722062965845
2025-01-19,6.153372206296585
2025-01-26,6.176744412593169
2025-02-02,6.183372206296585
2025-02-09,6.5276773637112
2025-02-16,6.480116618889753
2025-02-23,6.47
2025-03-02,6.456627793703415
2025-03-09,6.433255587406832
2025-03-16,6.426627793703415
2025-03-23,6.43
2025-03-30,6.39001083920991
2025-04-06,6.373340559473272
2025-04-13,6.3133513986831815
2025-04-20,6.263351398683182
2025-04-27,6.253340559473273
2025-05-04,6.206681118946545
2025-05-11,6.18001083920991
2025-05-18,6.123351398683181
2025-05-25,6.086681118946545
2025-06-01,6.046681118946545
2025-06-08,6.046670279736636
2025-06-15,6.010010839209908
2025-06-22,6.02
2025-06-29,6.060067085702793
2025-07-06,6.05
2025-07-13,6.036644304765735
2025-07-20,6.026644304765736
2025-07-27,6.03
2025-08-03,6.043355695234265
2025-08-10,6.066711390468528
2025-08-17,6.06
2025-08-24,6.073355695234265
2025-08-31,6.07
2025-09-07,6.056644304765735
2025-09-14,6.06
2025-09-21,6.06
2025-09-28,6.06
2025-10-05,6.06
2025-10-12,6.06
2025-10-19,6.06
2025-10-26,6.046645342087476
2025-11-02,6.05
2025-11-09,6.076709315825047
2025-11-16,6.056645342087476
2025-11-23,6.06
2025-11-30,6.073354657912524
2025-12-07,6.07
2025-12-14,6.07
2025-12-21,6.083353174423254
2025-12-28,6.08
2026-01-04,6.066646825576746
2026-01-11,6.13676587211627
2026-01-18,6.12
2026-01-25,6.12
2026-02-01,6.106646825576746
2026-02-08,6.123353174423254
2026-02-15,6.106646825576746
2026-02-22,6.096646825576745
2026-03-01,6.086646825576746
2026-03-08,6.170119046539525
2026-03-15,7.138134907320793
2026-03-22,7.53035416459821
2026-03-29,7.656256339590449
2026-04-05,7.583920742708656
2026-04-12,7.58
2026-04-19,7.482554801039402
2026-04-26,7.329030344787462
2026-05-03,7.240792572913433
2026-05-10,7.224317029165373
2026-05-17,7.184317029165373
2026-05-24,7.144317029165373
2026-05-31,7.118237771874029
2026-06-07,7.116079257291344
2026-06-14,7.106079257291343
2026-06-21,7.082064721745018
2026-06-28,7.034129443490037
2026-07-05,7.008097082617527
2026-07-12,6.950161804362546
2026-07-19,6.928097082617528
2026-07-26,6.953967639127491
2026-08-02,6.95
2026-08-09,6.93603236087251
